City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
309,chateaudun,FR,48.0833,1.3333,39.34,94,75,3.91,broken clouds
310,kanye,BW,-24.9667,25.3327,66.99,55,3,8.52,clear sky
311,kidal,ML,18.4411,1.4078,64.65,18,0,10.13,clear sky
312,bhubaneswar,IN,20.2333,85.8333,68.22,100,40,3.44,mist
313,sechura,PE,-5.5569,-80.8222,73.98,64,71,15.41,broken clouds
314,itoman,JP,26.1247,127.6694,61.18,77,20,9.22,few clouds
315,kilemary,RU,56.7783,46.8659,8.35,90,45,8.66,scattered clouds
316,haines junction,CA,60.7522,-137.5108,21.29,97,100,2.84,overcast clouds
317,jambi,ID,-1.6,103.6167,73.56,96,99,2.84,moderate rain
318,antofagasta,CL,-23.65,-70.4,69.08,80,4,5.12,clear sky
319,sao joao da barra,BR,-21.6403,-41.0511,75.69,88,4,16.62,clear sky
320,broken hill,AU,-31.95,141.4333,96.94,20,5,14.2,clear sky
321,dunedin,NZ,-45.8742,170.5036,64.2,69,70,5.08,broken clouds
322,mabaruma,GY,8.2,-59.7833,72.46,89,30,3.76,scattered clouds
323,fort nelson,CA,58.8053,-122.7002,3.92,98,92,0.83,overcast clouds
324,pierre,US,44.3683,-100.351,31.12,88,100,12.66,overcast clouds
325,rauma,FI,61.1272,21.5113,32.04,94,37,8.88,scattered clouds
326,lata,PT,40.1629,-8.3327,56.8,96,99,17.58,light rain
327,laurel,US,39.0993,-76.8483,47.66,34,0,4.61,clear sky
328,spalene porici,CZ,49.6137,13.6056,39.65,86,92,12.66,overcast clouds
329,williamsburg,US,37.2707,-76.7075,47.73,52,0,3.44,clear sky
330,quchan,IR,37.106,58.5095,24.67,82,13,1.54,few clouds
331,verkhneyarkeyevo,RU,55.4505,54.3145,4.93,72,0,7.4,clear sky
332,lusaka,ZM,-15.4067,28.2871,61.81,97,100,5.44,moderate rain
333,shelburne,CA,44.0787,-80.2041,30.24,63,82,7.72,broken clouds
334,saint-francois,FR,46.4154,3.9054,35.04,87,0,3.44,clear sky
335,panama city,PA,8.9936,-79.5197,80.17,72,87,4.0,overcast clouds
336,altagracia de orituco,VE,9.8601,-66.3814,71.37,82,18,7.63,few clouds
337,nago,JP,26.5881,127.9761,61.23,77,99,12.86,overcast clouds
338,la mira,MX,18.035,-102.3266,78.87,67,33,5.08,scattered clouds
339,ust-kulom,RU,61.6864,53.6902,14.2,91,97,10.36,overcast clouds
340,paita,PE,-5.0892,-81.1144,70.63,80,42,13.89,scattered clouds
341,weyburn,CA,49.6668,-103.8511,12.52,97,100,4.68,overcast clouds
342,korla,CN,41.7597,86.1469,3.74,95,85,2.26,overcast clouds
343,karratha,AU,-20.7377,116.8463,82.2,74,61,10.29,broken clouds
344,acuitzio,MX,20.345,-101.9771,69.6,20,100,4.52,overcast clouds
345,bonham,US,33.5773,-96.1783,68.38,48,0,5.75,clear sky
346,saint paul,US,44.9444,-93.0933,36.12,95,100,5.75,snow
347,chingola,ZM,-12.529,27.8838,62.37,97,100,2.8,light rain
348,adrar,MR,20.5022,-10.0711,64.02,18,77,11.03,broken clouds
349,montepuez,MZ,-13.1256,38.9997,69.1,95,99,0.56,light rain
350,upernavik,GL,72.7868,-56.1549,-2.63,94,100,5.06,overcast clouds
351,joacaba,BR,-27.1781,-51.5047,69.1,98,66,1.05,broken clouds
352,kieta,PG,-6.2167,155.6333,84.69,70,98,4.43,light rain
353,the pas,CA,53.8251,-101.2541,15.82,79,100,0.0,overcast clouds
354,nouadhibou,MR,20.931,-17.0347,69.48,50,100,11.43,overcast clouds
355,kendari,ID,-3.945,122.4989,81.86,75,92,0.45,light rain
356,jeremie,HT,18.65,-74.1167,71.91,74,11,6.4,few clouds
357,coquimbo,CL,-29.9533,-71.3436,64.13,72,20,9.22,few clouds
358,at-bashi,KG,41.1702,75.8106,-8.03,48,0,3.65,clear sky
359,mehamn,NO,71.0357,27.8492,33.75,80,40,0.0,scattered clouds
360,ancud,CL,-41.8697,-73.8203,57.52,77,66,2.1,broken clouds
361,kontagora,NG,10.3999,5.4695,72.93,19,77,5.86,broken clouds
362,samarai,PG,-10.6167,150.6667,81.97,71,100,3.24,light rain
363,port hedland,AU,-20.3167,118.5667,84.25,74,79,12.66,broken clouds
364,dawei,MM,14.0833,98.2,63.91,87,8,3.74,clear sky
365,peleduy,RU,59.6289,112.7406,-51.07,100,63,0.94,broken clouds
366,serchhip,IN,23.3,92.8333,40.24,81,0,2.98,clear sky
367,berlevag,NO,70.8578,29.0864,33.8,80,100,19.57,overcast clouds
368,portland,US,45.5234,-122.6762,51.73,75,40,3.0,scattered clouds
369,severo-kurilsk,RU,50.6789,156.125,21.42,63,83,11.72,broken clouds
370,balingasay,PH,16.3573,119.8564,78.62,75,98,8.05,overcast clouds
371,port hueneme,US,34.1478,-119.1951,60.46,72,0,25.32,clear sky
372,saldanha,ZA,-33.0117,17.9442,64.78,84,10,3.91,clear sky
373,mareeba,AU,-17.0,145.4333,79.52,95,100,3.04,overcast clouds
374,bulgan,MN,48.8125,103.5347,-9.8,84,9,5.17,clear sky
375,hervey bay,AU,-25.2986,152.8535,74.01,94,100,14.0,light rain
376,puro,PH,12.4841,123.3827,78.37,87,94,9.35,overcast clouds
377,vardo,NO,70.3705,31.1107,35.58,87,100,20.71,overcast clouds
378,jackson,US,42.4165,-122.8345,46.74,74,100,6.91,overcast clouds
379,komsomolskiy,UZ,40.4272,71.7189,12.92,79,3,2.3,mist
380,marsabit,KE,2.3284,37.9899,67.53,42,53,5.53,broken clouds
381,farah,AF,32.5,62.5,32.72,33,5,1.95,clear sky
382,quelimane,MZ,-17.8786,36.8883,75.45,93,100,4.25,overcast clouds
383,cherepanovo,RU,54.2222,83.381,12.83,94,100,11.9,overcast clouds
384,aklavik,CA,68.2191,-135.0107,-18.71,99,92,4.16,overcast clouds
385,nemuro,JP,43.3236,145.575,20.79,66,60,10.83,broken clouds
386,dumbraveni,RO,46.2333,24.5667,38.32,72,98,4.0,overcast clouds
387,laguna,US,38.421,-121.4238,56.28,62,0,4.61,clear sky
388,sorong,ID,-0.8833,131.25,82.2,79,85,6.71,overcast clouds
389,hami,CN,42.8,93.45,11.77,44,0,4.99,clear sky
390,normandin,CA,48.8333,-72.5321,10.29,89,54,4.74,broken clouds
391,riyadh,SA,24.6877,46.7219,59.14,73,44,12.75,scattered clouds
392,gulu,UG,2.7746,32.299,67.46,45,39,4.0,scattered clouds
393,ulaanbaatar,MN,47.9077,106.8832,-16.83,100,61,2.73,broken clouds
394,vanavara,RU,60.34,102.2797,-24.21,97,100,7.65,light snow
395,taperoa,BR,-7.2075,-36.8267,75.65,61,100,12.64,overcast clouds
396,clovis,US,36.8252,-119.7029,48.47,87,100,3.44,mist
397,tautira,PF,-17.7333,-149.15,79.14,68,87,4.0,overcast clouds
398,paea,PF,-17.6833,-149.5833,85.71,54,75,6.91,broken clouds
399,parana,AR,-31.732,-60.5238,91.51,40,2,3.96,clear sky
400,belaya glina,RU,46.07,40.86,31.66,89,9,9.44,clear sky
401,starkville,US,33.4504,-88.8184,62.47,78,100,10.36,overcast clouds
402,hansot,IN,21.5833,72.8,58.19,33,1,10.83,clear sky
403,luanda,AO,-8.8368,13.2343,77.54,82,100,5.48,overcast clouds
404,north bend,US,43.4065,-124.2243,49.91,89,0,4.61,clear sky
405,oliver,CA,49.1831,-119.5524,40.91,87,100,3.44,overcast clouds
406,nishihara,JP,26.1842,127.7558,60.46,78,20,9.22,few clouds
407,sumbe,AO,-11.2061,13.8437,77.31,81,97,4.18,overcast clouds
408,iqaluit,CA,63.7506,-68.5145,-25.31,74,48,4.41,scattered clouds
409,timra,SE,62.487,17.3257,10.08,92,0,4.61,clear sky
410,les cayes,HT,18.2,-73.75,70.39,77,18,7.31,few clouds
411,taltal,CL,-25.4,-70.4833,66.83,78,16,3.62,few clouds
412,dinguiraye,GN,11.3,-10.7167,71.51,14,31,3.49,scattered clouds
413,abengourou,CI,6.7297,-3.4964,69.13,76,10,3.18,clear sky
414,tabou,CI,4.423,-7.3528,79.11,82,12,4.16,few clouds
415,pangody,RU,65.85,74.4859,-8.5,97,97,10.94,overcast clouds
416,nyimba,ZM,-14.5566,30.8149,65.41,97,98,3.74,overcast clouds
417,moussoro,TD,13.6408,16.4901,66.72,20,37,12.68,scattered clouds
418,basqal,AZ,40.7552,48.391,23.99,69,24,5.88,few clouds
419,san cristobal,VE,7.7669,-72.225,66.85,94,75,2.89,broken clouds
420,turkistan,KZ,43.0,68.0,13.87,81,0,6.15,clear sky
421,derzhavinsk,KZ,51.1,66.3167,-9.6,67,8,2.3,clear sky
422,jatai,BR,-17.8814,-51.7144,70.47,90,100,3.96,light rain
423,quang ngai,VN,15.1167,108.8,67.41,92,100,7.2,overcast clouds
424,krasnoarmeyskiy,RU,47.0114,42.2072,31.14,91,17,11.95,few clouds
425,soavinandriana,MG,-19.1667,46.7333,55.29,92,44,4.65,scattered clouds
426,lompoc,US,34.6391,-120.4579,53.78,84,75,17.27,broken clouds
427,hasuda,JP,35.9756,139.6508,42.94,55,34,3.62,scattered clouds
428,sterling,US,39.0062,-77.4286,46.42,36,75,4.61,broken clouds
429,masterton,NZ,-40.9597,175.6575,70.88,44,12,1.77,few clouds
430,buin,CL,-33.7333,-70.75,76.42,44,1,6.06,clear sky
431,hofn,IS,64.2539,-15.2082,30.7,59,100,24.2,overcast clouds
432,khorixas,NA,-20.3667,14.9667,72.16,71,100,9.98,overcast clouds
433,matay,EG,28.419,30.7792,51.15,71,0,2.98,clear sky
434,havelock,US,34.8791,-76.9013,49.95,63,92,5.5,overcast clouds
435,severobaykalsk,RU,55.65,109.3167,-7.65,83,100,1.81,overcast clouds
436,santiago del estero,AR,-27.7951,-64.2615,86.95,28,0,10.02,clear sky
437,baylo,PH,7.8539,126.0581,77.76,93,97,0.16,overcast clouds
438,tigil,RU,57.8,158.6667,2.25,91,100,4.36,overcast clouds
439,charters towers,AU,-20.1,146.2667,74.8,88,100,8.37,light rain
440,te anau,NZ,-45.4167,167.7167,71.01,44,6,3.15,clear sky
441,ilinskiy,RU,55.619,38.1182,27.3,93,100,13.42,light snow
442,yar-sale,RU,66.8333,70.8333,3.47,96,100,14.23,overcast clouds
443,amga,RU,60.8953,131.9608,-66.35,100,97,0.83,overcast clouds
444,dargaville,NZ,-35.9333,173.8833,71.83,54,22,8.05,few clouds
445,srisailam,IN,16.0833,78.8667,59.09,77,0,1.74,clear sky
446,astana,KZ,51.1801,71.446,-4.05,71,0,6.71,clear sky
447,smithfield,US,41.922,-71.5495,34.23,76,100,10.36,overcast clouds
448,naivasha,KE,-0.7167,36.4359,51.28,75,4,3.2,clear sky
449,harper,LR,4.375,-7.7169,79.18,81,13,4.38,few clouds
450,alofi,NU,-19.0595,-169.9187,79.43,74,100,6.51,overcast clouds
451,amalapuram,IN,16.5833,82.0167,64.02,94,0,1.54,clear sky
452,cururupu,BR,-1.8283,-44.8683,71.82,95,100,2.68,overcast clouds
453,syracuse,IT,37.0881,15.2792,56.57,73,81,14.54,broken clouds
454,malakal,SS,9.5334,31.6605,76.64,18,8,8.43,clear sky
455,luderitz,NA,-26.6481,15.1594,67.64,82,83,5.57,broken clouds
456,werda,BW,-25.2667,23.2833,75.79,35,0,8.57,clear sky
457,alcudia,ES,39.8532,3.1214,63.19,69,85,32.91,overcast clouds
458,grindavik,IS,63.8424,-22.4338,28.87,74,40,20.71,scattered clouds
459,namatanai,PG,-3.6667,152.4333,83.75,70,100,4.79,light rain
460,jumla,NP,29.2747,82.1838,29.88,13,0,6.02,clear sky
461,abaza,RU,52.655,90.0928,15.73,85,100,14.07,overcast clouds
462,ayorou,NE,14.7308,0.9174,67.57,16,53,11.1,broken clouds
463,zhanaozen,KZ,43.3,52.8,23.61,41,9,11.77,clear sky
464,sept-iles,CA,50.2001,-66.3821,25.05,79,100,6.91,light rain
465,hisar,IN,29.1667,75.7167,41.25,27,0,5.26,clear sky
466,aldan,RU,58.6031,125.3894,-41.17,99,100,1.77,overcast clouds
467,moberly,US,39.4184,-92.4382,51.93,55,0,10.36,clear sky
468,lithgow,AU,-33.4833,150.15,69.3,56,84,5.73,broken clouds
469,svetlaya,RU,46.5389,138.3297,1.58,59,53,7.27,broken clouds
470,kerema,PG,-7.9631,145.7785,83.75,63,93,1.92,overcast clouds
471,itaobim,BR,-16.5667,-41.8333,70.11,87,100,2.21,overcast clouds
472,ayagoz,KZ,47.9714,80.4392,-12.95,87,19,3.27,few clouds
473,tilichiki,RU,60.4667,166.1,-18.8,94,51,8.61,broken clouds
474,tibati,CM,6.4667,12.6333,67.86,26,83,4.21,broken clouds
